Predicted_FRP,FRP_1_days_ago
-1.8898968,-2.0
-1.8898968,-2.0
-1.8899745,-2.0
-1.8899745,-2.0
-1.8899745,-2.0
-1.8902442,-2.0
-1.8902442,-2.0
-1.8903452,-2.0
-1.8903452,-2.0
-1.8903452,-2.0
-1.8897493,-2.0
-1.8897493,-2.0
-1.8891803,-2.0
-1.8891803,-2.0
-1.8891803,-2.0
-1.8887153,-2.0
-1.8887153,-2.0
-1.8890059,-2.0
-1.8890059,-2.0
-1.8890059,-2.0
-1.8901684,-2.0
-1.8901684,-2.0
-1.8917906,-2.0
-1.8917906,-2.0
-1.8917906,-2.0
-1.8924894,-2.0
-1.8924894,-2.0
-1.8927488,-2.0
-1.8927488,-2.0
-1.8927488,-2.0
-1.8919649,-2.0
-1.8919649,-2.0
-1.8897713,-2.0
-1.8897713,-2.0
-1.8897713,-2.0
-1.8879468,-2.0
-1.8879468,-2.0
-1.8877418,-2.0
-1.8877418,-2.0
-1.8877418,-2.0
-1.8903147,-2.0
-1.8903147,-2.0
-1.893518,-2.0
-1.893518,-2.0
-1.893518,-2.0
-1.8936534,-2.0
-1.8936534,-2.0
-1.8929594,-2.0
-1.8929594,-2.0
-1.8929594,-2.0
-1.8935575,-2.0
-1.8935575,-2.0
-1.893595,-2.0
-1.893595,-2.0
-1.893595,-2.0
-1.8937261,-2.0
-1.8937261,-2.0
-1.8938692,-2.0
-1.8938692,-2.0
-1.8938692,-2.0
-1.8939579,-2.0
-1.8939579,-2.0
-1.8940775,-2.0
-1.8940775,-2.0
-1.8940775,-2.0
-1.894156,-2.0
-1.894156,-2.0
-1.8942308,-2.0
-1.8942308,-2.0
-1.8942308,-2.0
-1.8972731,-2.0
-1.8972731,-2.0
-1.8983094,-2.0
-1.8983094,-2.0
-1.8983094,-2.0
-1.8942671,-2.0
-1.8942671,-2.0
-1.8953197,-2.0
-1.8953197,-2.0
-1.8953197,-2.0
-1.900985,-2.0
-1.900985,-2.0
-1.8977014,-2.0
-1.8977014,-2.0
-1.8977014,-2.0
-1.8947365,-2.0
-1.8947365,-2.0
-1.894908,-2.0
-1.894908,-2.0
-1.894908,-2.0
-1.8951004,-2.0
-1.8951004,-2.0
-1.9001799,-2.0
-1.9001799,-2.0
-1.9001799,-2.0
-1.9006149,-2.0
-1.9006149,-2.0
-1.8955967,-2.0
-1.8955967,-2.0
-1.8955967,-2.0
-1.8952085,-2.0
-1.8952085,-2.0
-1.8963906,-2.0
-1.8963906,-2.0
-1.8963906,-2.0
-1.898508,-2.0
-1.898508,-2.0
-1.902064,-2.0
-1.902064,-2.0
-1.902064,-2.0
-1.9063737,-2.0
-1.9063737,-2.0
-1.9042494,-2.0
-1.9042494,-2.0
-1.9042494,-2.0
-1.8973335,-2.0
-1.8973335,-2.0
-1.896529,-2.0
-1.896529,-2.0
-1.896529,-2.0
-1.8965926,-2.0
-1.8965926,-2.0
-1.8964462,-2.0
-1.8964462,-2.0
-1.8964462,-2.0
-1.8962336,-2.0
-1.8962336,-2.0
-1.8960001,-2.0
-1.8960001,-2.0
-1.8960001,-2.0
-1.8958158,-2.0
