Predicted_FRP,FRP_1_days_ago
-1.8306748,-2.0
-1.8306748,-2.0
-1.8353115,-2.0
-1.8353115,-2.0
-1.8353115,-2.0
-1.8382723,-2.0
-1.8382723,-2.0
-1.8403474,-2.0
-1.8403474,-2.0
-1.8403474,-2.0
-1.8454162,-2.0
-1.8454162,-2.0
-1.8568441,-2.0
-1.8568441,-2.0
-1.8568441,-2.0
-1.869679,-2.0
-1.869679,-2.0
-1.8720272,-2.0
-1.8720272,-2.0
-1.8720272,-2.0
-1.8747929,-2.0
-1.8747929,-2.0
-1.8870971,-2.0
-1.8870971,-2.0
-1.8870971,-2.0
-1.8888384,-2.0
-1.8888384,-2.0
-1.8921244,-2.0
-1.8921244,-2.0
-1.8921244,-2.0
-1.8930686,-2.0
-1.8930686,-2.0
-1.8953269,-2.0
-1.8953269,-2.0
-1.8953269,-2.0
-1.892878,-2.0
-1.892878,-2.0
-1.9021962,-2.0
-1.9021962,-2.0
-1.9021962,-2.0
-1.9370486,-2.0
-1.9370486,-2.0
-1.9269881,-2.0
-1.9269881,-2.0
-1.9269881,-2.0
-1.9045986,-2.0
-1.9045986,-2.0
-1.8927624,-2.0
-1.8927624,-2.0
-1.8927624,-2.0
-1.8990976,-2.0
-1.8990976,-2.0
-1.9203525,-2.0
-1.9203525,-2.0
-1.9203525,-2.0
-1.9013958,-2.0
-1.9013958,-2.0
-1.8928969,-2.0
-1.8928969,-2.0
-1.8928969,-2.0
-1.8891913,-2.0
-1.8891913,-2.0
-1.893018,-2.0
-1.893018,-2.0
-1.893018,-2.0
-1.8930407,-2.0
-1.8930407,-2.0
-1.8931112,-2.0
-1.8931112,-2.0
-1.8931112,-2.0
-1.880531,-2.0
-1.880531,-2.0
-1.8829898,-2.0
-1.8829898,-2.0
-1.8829898,-2.0
-1.8931704,-2.0
-1.8931704,-2.0
-1.8931291,-2.0
-1.8931291,-2.0
-1.8931291,-2.0
-1.8835312,-2.0
-1.8835312,-2.0
-1.8688565,-2.0
-1.8688565,-2.0
-1.8688565,-2.0
-1.8665185,-2.0
-1.8665185,-2.0
-1.8750799,-2.0
-1.8750799,-2.0
-1.8750799,-2.0
-1.8880957,-2.0
-1.8880957,-2.0
-1.887422,-2.0
-1.887422,-2.0
-1.887422,-2.0
-1.8824395,-2.0
-1.8824395,-2.0
-1.8779206,-2.0
-1.8779206,-2.0
-1.8779206,-2.0
-1.8785961,-2.0
-1.8785961,-2.0
-1.8832631,-2.0
-1.8832631,-2.0
-1.8832631,-2.0
-1.8895557,-2.0
-1.8895557,-2.0
-1.8942072,-2.0
-1.8942072,-2.0
-1.8942072,-2.0
-1.8944016,-2.0
-1.8944016,-2.0
-1.9012685,-2.0
-1.9012685,-2.0
-1.9012685,-2.0
-1.9112003,-2.0
-1.9112003,-2.0
-1.922106,-2.0
-1.922106,-2.0
-1.922106,-2.0
-1.9935547,-2.0
-1.9935547,-2.0
-2.0670283,-2.0
-2.0670283,-2.0
-2.0670283,-2.0
-2.0741944,-2.0
-2.0741944,-2.0
-2.0823236,-2.0
-2.0823236,-2.0
-2.0823236,-2.0
-2.078494,-2.0
-2.078494,-2.0
-2.0697098,-2.0
-2.0697098,-2.0
-2.0697098,-2.0
-2.0776277,-2.0
-2.0776277,-2.0
-2.0725644,-2.0
-2.0725644,-2.0
-2.0725644,-2.0
-1.8787417,-2.0
-1.8787417,-2.0
-1.8739551,-2.0
-1.8739551,-2.0
-1.8739551,-2.0
-1.8868369,-2.0
-1.8868369,-2.0
-1.8949914,-2.0
-1.8949914,-2.0
-1.8949914,-2.0
-1.8946631,-2.0
-1.893694,-2.0
-2.073698,-2.0
-2.073698,-2.0
-2.073698,-2.0
-2.0600429,-2.0
-2.0600429,-2.0
-2.0510566,-2.0
-2.0510566,-2.0
-2.0510566,-2.0
-2.0512936,-2.0
-2.0512936,-2.0
-2.073228,-2.0
-2.073228,-2.0
-2.073228,-2.0
-2.0827122,-2.0
-2.0827122,-2.0
-2.0895386,-2.0
-2.0895386,-2.0
-2.0895386,-2.0
-2.093587,-2.0
-2.093587,-2.0
-2.0992508,-2.0
-2.0992508,-2.0
-2.0992508,-2.0
-2.1079078,-2.0
-2.1079078,-2.0
-2.1064105,-2.0
-2.0236282,-2.0
-2.0563762,-2.0
-1.9267118,-2.0
-1.9267118,-2.0
-1.9109368,-2.0
-1.5996112,-2.0
-1.7374127,-2.0
-1.9172032,-2.0
-1.8706088,-2.0
-1.9299867,-2.0
-1.9299867,-2.0
-1.9298819,-2.0
-1.9483907,-2.0
-1.9483907,-2.0
-1.9686723,-2.0
-1.9707221,-2.0
-1.9707221,-2.0
-1.9941771,-2.0
-1.9941771,-2.0
-2.0017853,-2.0
-2.0017853,-2.0
-2.0017853,-2.0
-2.0222363,-2.0
-2.0222363,-2.0
-2.0314307,-2.0
-2.0314307,-2.0
-2.0314307,-2.0
-2.029881,-2.0
-2.0293453,-2.0
-2.030652,-2.0
-2.030652,-2.0
-2.0312324,-2.0
-1.9994024,-2.0
-1.9994024,-2.0
-2.0051596,-2.0
-2.0051596,-2.0
-2.0051596,-2.0
-2.008913,-2.0
-2.008913,-2.0
-1.9878443,-2.0
-1.9883692,-2.0
-1.9878443,-2.0
-1.9885945,-2.0
-1.9890487,-2.0
-2.0020704,-2.0
-2.0020704,-2.0
-2.0020704,-2.0
-1.98202,-2.0
-1.98202,-2.0
-1.9782712,-2.0
-1.9782712,-2.0
-1.9782712,-2.0
-1.9763197,-2.0
-1.9763197,-2.0
-2.0027509,-2.0
-2.0027509,-2.0
-2.0027509,-2.0
-1.998452,-2.0
-1.9995327,-2.0
-1.9852445,-2.0
-1.9852445,-2.0
-1.9852445,-2.0
-1.9870765,-2.0
-1.9870765,-2.0
-2.01638,-2.0
-2.0147192,-2.0
-2.0147192,-2.0
-2.016074,-2.0
-2.016074,-2.0
-2.006399,-2.0
-2.006399,-2.0
-2.006399,-2.0
-2.0003953,-2.0
-2.0003953,-2.0
-1.9932832,-2.0
-1.9932832,-2.0
-1.9938014,-2.0
-1.9934633,-2.0
-1.9929613,-2.0
-1.9986856,-2.0
-1.9986856,-2.0
-1.9986856,-2.0
-1.9792771,-2.0
-1.9792771,-2.0
-1.971175,-2.0
-1.8693314,-2.0
-1.9716756,-2.0
-1.9628038,-2.0
-1.9628038,-2.0
-1.9603039,-2.0
-1.962607,-2.0
-1.962607,-2.0
-1.954453,-2.0
-1.9516044,-2.0
-1.9614403,-2.0
-1.9619863,-2.0
-1.9619863,-2.0
-1.96092,-2.0
-1.96092,-2.0
-1.94435,-2.0
-1.94435,-2.0
-1.94435,-2.0
-1.9702591,-2.0
-1.9123764,-2.0
-2.1286016,-2.0
-2.1286016,-2.0
-2.1286016,-2.0
-2.12026,-2.0
-2.12026,-2.0
-2.1015565,-2.0
-2.1015565,-2.0
-2.1015565,-2.0
-2.0746336,-2.0
-2.0746336,-2.0
-2.0911431,-2.0
-2.0911431,-2.0
-2.0911431,-2.0
-2.105968,-2.0
-2.105968,-2.0
-2.112965,-2.0
-2.112965,-2.0
-2.112965,-2.0
-2.1122246,-2.0
-2.1122246,-2.0
-2.1004014,-2.0
-2.1004014,-2.0
-2.1004014,-2.0
-2.0983164,-2.0
