Predicted_FRP,FRP_1_days_ago
-1.8982092,-2.0
-1.8982092,-2.0
-1.8925221,-2.0
-1.8925221,-2.0
-1.8925221,-2.0
-1.8925478,-2.0
-1.8925478,-2.0
-1.8925521,-2.0
-1.8925521,-2.0
-1.8925521,-2.0
-1.8924744,-2.0
-1.8924744,-2.0
-1.9031391,-2.0
-1.9031391,-2.0
-1.9031391,-2.0
-1.9157383,-2.0
-1.9157383,-2.0
-1.918981,-2.0
-1.918981,-2.0
-1.918981,-2.0
-1.9140136,-2.0
-1.9140136,-2.0
-1.9072798,-2.0
-1.9072798,-2.0
-1.9072798,-2.0
-1.8991604,-2.0
-1.8991604,-2.0
-1.8940891,-2.0
-1.8940891,-2.0
-1.8940891,-2.0
-1.8931088,-2.0
-1.8931088,-2.0
-1.8930342,-2.0
-1.8930342,-2.0
-1.8930342,-2.0
-1.8929415,-2.0
-1.8929415,-2.0
-1.8930037,-2.0
-1.8930037,-2.0
-1.8930037,-2.0
-1.8930678,-2.0
-1.8930678,-2.0
-1.891526,-2.0
-1.891526,-2.0
-1.891526,-2.0
-1.8871886,-2.0
-1.8871886,-2.0
-1.881852,-2.0
-1.881852,-2.0
-1.881852,-2.0
-1.8733109,-2.0
-1.8733109,-2.0
-1.886402,-2.0
-1.886402,-2.0
-1.886402,-2.0
-1.893331,-2.0
-1.893331,-2.0
-1.8934765,-2.0
-1.8934765,-2.0
-1.8934765,-2.0
-1.9122522,-2.0
-1.9122522,-2.0
-1.9299388,-2.0
-1.9299388,-2.0
-1.9299388,-2.0
-1.9167421,-2.0
-1.9167421,-2.0
-1.9108531,-2.0
-1.9108531,-2.0
-1.9108531,-2.0
-1.9057941,-2.0
-1.9057941,-2.0
-1.8989136,-2.0
-1.8989136,-2.0
-1.8989136,-2.0
-1.8934596,-2.0
-1.8934596,-2.0
-1.8937206,-2.0
-1.8937206,-2.0
-1.8937206,-2.0
-1.8940248,-2.0
-1.8940248,-2.0
-1.8943527,-2.0
-1.8943527,-2.0
-1.8943527,-2.0
-1.8947582,-2.0
-1.8947582,-2.0
-1.8951156,-2.0
-1.8951156,-2.0
-1.8951156,-2.0
-1.8968673,-2.0
-1.8968673,-2.0
-1.9089184,-2.0
-1.9089184,-2.0
-1.9089184,-2.0
-1.9234447,-2.0
-1.9234447,-2.0
-1.9304469,-2.0
-1.9304469,-2.0
-1.9304469,-2.0
-1.931922,-2.0
-1.931922,-2.0
-1.9264579,-2.0
-1.9264579,-2.0
-1.9264579,-2.0
-1.9134884,-2.0
-1.9134884,-2.0
-1.89995,-2.0
-1.89995,-2.0
-1.89995,-2.0
-1.8964238,-2.0
-1.8964238,-2.0
-1.8962262,-2.0
-1.8962262,-2.0
-1.8962262,-2.0
-1.8949258,-2.0
-1.8949258,-2.0
-1.8892094,-2.0
-1.8892094,-2.0
-1.8892094,-2.0
-1.88457,-2.0
-1.88457,-2.0
-1.8808053,-2.0
-1.8808053,-2.0
-1.8808053,-2.0
-1.8790941,-2.0
-1.8790941,-2.0
-1.8777995,-2.0
-1.8777995,-2.0
-1.8777995,-2.0
-1.875263,-2.0
-1.875263,-2.0
-1.8741891,-2.0
-1.8741891,-2.0
-1.8741891,-2.0
-1.8743795,-2.0
-1.8743795,-2.0
-1.8757719,-2.0
-1.8757719,-2.0
-1.8757719,-2.0
-1.891098,-2.0
-1.891098,-2.0
-1.8908195,-2.0
-1.8908195,-2.0
-1.8908195,-2.0
-1.8937467,-2.0
-1.8937467,-2.0
-1.867956,-2.0
-1.867956,-2.0
-1.867956,-2.0
-1.8776257,-2.0
-1.8752825,-2.0
-1.8999112,-2.0
