Predicted_FRP,FRP_1_days_ago
-1.8834711,-2.0
-1.8834711,-2.0
-1.893867,-2.0
-1.893867,-2.0
-1.893867,-2.0
-1.8940256,-2.0
-1.8940256,-2.0
-1.8941367,-2.0
-1.8941367,-2.0
-1.8941367,-2.0
-1.8942239,-2.0
-1.8942239,-2.0
-1.8942528,-2.0
-1.8942528,-2.0
-1.8942528,-2.0
-1.8942325,-2.0
-1.8942325,-2.0
-1.8958225,-2.0
-1.8958225,-2.0
-1.8958225,-2.0
-1.9016316,-2.0
-1.9016316,-2.0
-1.9073195,-2.0
-1.9073195,-2.0
-1.9073195,-2.0
-1.9096224,-2.0
-1.9096224,-2.0
-1.913741,-2.0
-1.913741,-2.0
-1.913741,-2.0
-1.9114163,-2.0
-1.9114163,-2.0
-1.9070967,-2.0
-1.9070967,-2.0
-1.9070967,-2.0
-1.9081244,-2.0
-1.9081244,-2.0
-1.9054568,-2.0
-1.9054568,-2.0
-1.9054568,-2.0
-1.8978169,-2.0
-1.8978169,-2.0
-1.8937509,-2.0
-1.8937509,-2.0
-1.8937509,-2.0
-1.8937438,-2.0
-1.8937438,-2.0
-1.8937359,-2.0
-1.8937359,-2.0
-1.8937359,-2.0
-1.8936913,-2.0
-1.8936913,-2.0
-1.8936462,-2.0
-1.8936462,-2.0
-1.8936462,-2.0
-1.8936417,-2.0
-1.8936417,-2.0
-1.8935869,-2.0
-1.8935869,-2.0
-1.8935869,-2.0
-1.9078916,-2.0
-1.9078916,-2.0
-1.9273443,-2.0
-1.9273443,-2.0
-1.9273443,-2.0
-1.935586,-2.0
-1.935586,-2.0
-1.9365284,-2.0
-1.9365284,-2.0
-1.9365284,-2.0
-1.9405589,-2.0
-1.9405589,-2.0
-1.9464206,-2.0
-1.9464206,-2.0
-1.9464206,-2.0
-1.9435055,-2.0
-1.9435055,-2.0
-1.9361578,-2.0
-1.9361578,-2.0
-1.9361578,-2.0
-1.9413505,-2.0
-1.9413505,-2.0
-1.9460554,-2.0
-1.9460554,-2.0
-1.9460554,-2.0
-1.945861,-2.0
-1.945861,-2.0
-1.9443794,-2.0
-1.9443794,-2.0
-1.9443794,-2.0
-1.9393724,-2.0
-1.9393724,-2.0
-1.9443243,-2.0
-1.9443243,-2.0
-1.9443243,-2.0
-1.9401215,-2.0
-1.9401215,-2.0
-1.9305148,-2.0
-1.9305148,-2.0
-1.9305148,-2.0
-1.9458352,-2.0
-1.9458352,-2.0
-1.9838903,-2.0
-1.9838903,-2.0
-1.9838903,-2.0
-2.0116606,-2.0
-2.0116606,-2.0
-1.9767468,-2.0
-1.9767468,-2.0
-1.9767468,-2.0
-1.9363891,-2.0
-1.9363891,-2.0
-1.9225851,-2.0
-1.9225851,-2.0
-1.9225851,-2.0
-1.9560745,-2.0
