Predicted_FRP,FRP_1_days_ago
-1.8046956,-2.0
-1.8046956,-2.0
-1.8064393,-2.0
-1.8064393,-2.0
-1.8064393,-2.0
-1.8090761,-2.0
-1.8090761,-2.0
-1.8104737,-2.0
-1.8104737,-2.0
-1.8104737,-2.0
-1.8116326,-2.0
-1.8116326,-2.0
-1.8136762,-2.0
-1.8136762,-2.0
-1.8136762,-2.0
-1.8157598,-2.0
-1.8157598,-2.0
-1.8171916,-2.0
-1.8171916,-2.0
-1.8171916,-2.0
-1.8201902,-2.0
-1.8201902,-2.0
-1.8234732,-2.0
-1.8234732,-2.0
-1.8234732,-2.0
-1.8279468,-2.0
-1.8279468,-2.0
-1.8361856,-2.0
-1.8361856,-2.0
-1.8361856,-2.0
-1.8412342,-2.0
-1.8412342,-2.0
-1.8383892,-2.0
-1.8383892,-2.0
-1.8383892,-2.0
-1.8384662,-2.0
-1.8384662,-2.0
-1.8507476,-2.0
-1.8507476,-2.0
-1.8507476,-2.0
-1.8655198,-2.0
-1.8655198,-2.0
-1.8743119,-2.0
-1.8743119,-2.0
-1.8743119,-2.0
-1.8858737,-2.0
-1.8858737,-2.0
-1.8951174,-2.0
-1.8951174,-2.0
-1.8951174,-2.0
-1.8981695,-2.0
-1.8981695,-2.0
-1.8979974,-2.0
-1.8979974,-2.0
-1.8979974,-2.0
-1.8979349,-2.0
-1.8979349,-2.0
-1.8979206,-2.0
-1.8979206,-2.0
-1.8979206,-2.0
-1.8979185,-2.0
-1.8979185,-2.0
-1.8979359,-2.0
-1.8979359,-2.0
-1.8979359,-2.0
-1.897825,-2.0
-1.897825,-2.0
-1.9205723,-2.0
-1.9205723,-2.0
-1.9205723,-2.0
-1.9550853,-2.0
-1.9550853,-2.0
-1.9784694,-2.0
-1.9784694,-2.0
-1.9784694,-2.0
-2.0056698,-2.0
-2.0056698,-2.0
-2.0331283,-2.0
-2.0331283,-2.0
-2.0331283,-2.0
-2.049129,-2.0
-2.049129,-2.0
-2.0572274,-2.0
-2.0572274,-2.0
-2.0572274,-2.0
-2.072181,-2.0
-2.072181,-2.0
-2.0739636,-2.0
-2.0739636,-2.0
-2.0739636,-2.0
-2.0750933,-2.0
-2.0750933,-2.0
-2.0767403,-2.0
-2.0767403,-2.0
-2.0767403,-2.0
-2.0774763,-2.0
-2.0774763,-2.0
-2.079146,-2.0
-2.079146,-2.0
-2.079146,-2.0
-2.0819862,-2.0
-2.0819862,-2.0
-2.0827012,-2.0
-2.0827012,-2.0
-2.0827012,-2.0
-2.080037,-2.0
-2.080037,-2.0
-2.082251,-2.0
-2.082251,-2.0
-2.082251,-2.0
-2.088375,-2.0
-2.088375,-2.0
-2.0876114,-2.0
-2.0876114,-2.0
-2.0876114,-2.0
-2.0825908,-2.0
-2.0825908,-2.0
-2.0752485,-2.0
-2.0752485,-2.0
-2.0752485,-2.0
-2.0748332,-2.0
