Predicted_FRP,FRP_1_days_ago
-1.84497,-2.0
-1.84497,-2.0
-1.8428901,-2.0
-1.8428901,-2.0
-1.8428901,-2.0
-1.8428186,-2.0
-1.8428186,-2.0
-1.8433075,-2.0
-1.8433075,-2.0
-1.8433075,-2.0
-1.8425461,-2.0
-1.8425461,-2.0
-1.8409135,-2.0
-1.8409135,-2.0
-1.8409135,-2.0
-1.8393235,-2.0
-1.8393235,-2.0
-1.8379772,-2.0
-1.8379772,-2.0
-1.8379772,-2.0
-1.8378474,-2.0
-1.8378474,-2.0
-1.8373849,-2.0
-1.8373849,-2.0
-1.8373849,-2.0
-1.835889,-2.0
-1.835889,-2.0
-1.8344328,-2.0
-1.8344328,-2.0
-1.8344328,-2.0
-1.8334352,-2.0
-1.8334352,-2.0
-1.8321053,-2.0
-1.8321053,-2.0
-1.8321053,-2.0
-1.8303566,-2.0
-1.8303566,-2.0
-1.8288848,-2.0
-1.8288848,-2.0
-1.8288848,-2.0
-1.8274612,-2.0
-1.8274612,-2.0
-1.8248079,-2.0
-1.8248079,-2.0
-1.8248079,-2.0
-1.8220673,-2.0
-1.8220673,-2.0
-1.8196647,-2.0
-1.8196647,-2.0
-1.8196647,-2.0
-1.8170435,-2.0
-1.8170435,-2.0
-1.8146968,-2.0
-1.8146968,-2.0
-1.8146968,-2.0
-1.813222,-2.0
-1.813222,-2.0
-1.8128804,-2.0
-1.8128804,-2.0
-1.8128804,-2.0
-1.8117287,-2.0
-1.8117287,-2.0
-1.8114864,-2.0
-1.8114864,-2.0
-1.8114864,-2.0
-1.8138738,-2.0
-1.8138738,-2.0
-1.81638,-2.0
-1.81638,-2.0
-1.81638,-2.0
-1.8204551,-2.0
-1.8204551,-2.0
-1.8261328,-2.0
-1.8261328,-2.0
-1.8261328,-2.0
-1.8352729,-2.0
-1.8352729,-2.0
-1.8412203,-2.0
-1.8412203,-2.0
-1.8412203,-2.0
-1.8495433,-2.0
-1.8495433,-2.0
-1.8642842,-2.0
-1.8642842,-2.0
-1.8642842,-2.0
-1.8716689,-2.0
-1.8716689,-2.0
-1.8817945,-2.0
-1.8817945,-2.0
-1.8817945,-2.0
-1.893404,-2.0
-1.893404,-2.0
-1.8948207,-2.0
-1.8948207,-2.0
-1.8948207,-2.0
-1.8978784,-2.0
-1.8978784,-2.0
-1.9007629,-2.0
-1.9007629,-2.0
-1.9007629,-2.0
-1.9056934,-2.0
-1.9056934,-2.0
-1.9301374,-2.0
-1.9301374,-2.0
-1.9301374,-2.0
-1.9443922,-2.0
-1.9443922,-2.0
-1.9673374,-2.0
-1.9673374,-2.0
-1.9673374,-2.0
-1.9928472,-2.0
-1.9928472,-2.0
-2.023759,-2.0
-2.023759,-2.0
-2.023759,-2.0
-2.0244904,-2.0
-2.0244904,-2.0
-2.022735,-2.0
-2.022735,-2.0
-2.022735,-2.0
-2.0436096,-2.0
-2.0436096,-2.0
-2.0698223,-2.0
-2.0698223,-2.0
-2.0698223,-2.0
-2.0749736,-2.0
-2.0749736,-2.0
-2.0767403,-2.0
-2.0767403,-2.0
-2.0767403,-2.0
-2.0744565,-2.0
-2.0744565,-2.0
-2.071749,-2.0
-2.071749,-2.0
-2.071749,-2.0
-2.0720177,-2.0
-2.0720177,-2.0
-2.0734813,-2.0
-2.0734813,-2.0
-2.0734813,-2.0
-1.9012043,-2.0
-1.9012043,-2.0
-1.8991611,-2.0
-1.8991611,-2.0
-1.8991611,-2.0
-1.8947953,-2.0
-1.8947953,-2.0
-1.8923182,-2.0
-1.8923182,-2.0
-1.8923182,-2.0
-1.8865,-2.0
-1.8852048,-2.0
-2.0806398,-2.0
-2.0806398,-2.0
-2.0806398,-2.0
-2.0917716,-2.0
-2.0917716,-2.0
-2.0932293,-2.0
-2.0932293,-2.0
-2.0932293,-2.0
-2.1049306,-2.0
-2.1049306,-2.0
-2.1014733,-2.0
-2.1014733,-2.0
-2.1014733,-2.0
-2.1012177,-2.0
-2.1012177,-2.0
-2.1016068,-2.0
-2.1016068,-2.0
-2.1016068,-2.0
-2.0956464,-2.0
-2.0956464,-2.0
-2.1038804,-2.0
-2.1038804,-2.0
-2.1038804,-2.0
-2.1067448,-2.0
-2.1067448,-2.0
-2.0963788,-2.0
-2.016228,-2.0
-2.0432255,-2.0
-1.9288116,-2.0
-1.9288116,-2.0
-1.9400319,-2.0
-1.8117297,-2.0
-1.8017896,-2.0
-1.925107,-2.0
-1.936504,-2.0
-1.8071159,-2.0
-1.9407756,-2.0
-1.9395057,-2.0
-1.9406854,-2.0
-1.9406854,-2.0
-1.949328,-2.0
-1.9499364,-2.0
-1.9499364,-2.0
-1.965306,-2.0
-1.965306,-2.0
-1.9973385,-2.0
-1.9973385,-2.0
-1.9973385,-2.0
-2.0184894,-2.0
-2.0184894,-2.0
-2.0053039,-2.0
-2.0053039,-2.0
-2.0053039,-2.0
-1.9811994,-2.0
-1.9814092,-2.0
-1.989187,-2.0
-1.989187,-2.0
-1.9891293,-2.0
-1.9783039,-2.0
-1.9783039,-2.0
-1.9804302,-2.0
-1.9804302,-2.0
-1.9804302,-2.0
-1.9752164,-2.0
-1.9752164,-2.0
-1.9827359,-2.0
-1.9827509,-2.0
-1.9827359,-2.0
-1.9814392,-2.0
-1.9813852,-2.0
-1.9833171,-2.0
-1.9833171,-2.0
-1.9833171,-2.0
-1.9791164,-2.0
-1.9791164,-2.0
-1.9690005,-2.0
-1.9690005,-2.0
-1.9690005,-2.0
-1.9701779,-2.0
-1.9701779,-2.0
-1.9807017,-2.0
-1.9807017,-2.0
-1.9807017,-2.0
-1.9835086,-2.0
-1.9835148,-2.0
-1.9739057,-2.0
-1.9739057,-2.0
-1.9739057,-2.0
-1.9801054,-2.0
-1.9801054,-2.0
-1.9847895,-2.0
-1.9848489,-2.0
-1.9848489,-2.0
-1.9605973,-2.0
-1.9605973,-2.0
-1.9602623,-2.0
-1.9602623,-2.0
-1.9602623,-2.0
-1.9765279,-2.0
-1.9765279,-2.0
-1.9758167,-2.0
-1.9758167,-2.0
-1.9750981,-2.0
-1.9611582,-2.0
-1.9636506,-2.0
-1.8905149,-2.0
-1.8905149,-2.0
-1.8905149,-2.0
-1.8758247,-2.0
-1.8758247,-2.0
-1.8968631,-2.0
-1.4789832,-2.0
-1.8957176,-2.0
-1.878062,-2.0
-1.878062,-2.0
-1.8876116,-2.0
-1.8835602,-2.0
-1.8835602,-2.0
-1.8961122,-2.0
-1.9004076,-2.0
-1.9082153,-2.0
-1.9076232,-2.0
-1.9076232,-2.0
-1.905565,-2.0
-1.905565,-2.0
-1.9263902,-2.0
-1.9263902,-2.0
-1.9263902,-2.0
-1.9523249,-2.0
-1.9463904,-2.0
-2.0809934,-2.0
-2.0809934,-2.0
-2.0809934,-2.0
-2.1001918,-2.0
-2.1001918,-2.0
-2.1123986,-2.0
-2.1123986,-2.0
-2.1123986,-2.0
-2.1094928,-2.0
-2.1094928,-2.0
-2.0977485,-2.0
-2.0977485,-2.0
-2.0977485,-2.0
-2.0962057,-2.0
-2.0962057,-2.0
-2.1066327,-2.0
-2.1066327,-2.0
-2.1066327,-2.0
-2.11586,-2.0
-2.11586,-2.0
-2.116231,-2.0
-2.116231,-2.0
-2.116231,-2.0
-2.1136215,-2.0
-2.1136215,-2.0
-2.1140068,-2.0
-2.1140068,-2.0
-2.1140068,-2.0
-2.1198885,-2.0
-2.1198885,-2.0
-2.1283295,-2.0
-2.1283295,-2.0
-2.1283295,-2.0
-2.1340854,-2.0
-2.1340854,-2.0
-2.1376023,-2.0
-2.1376023,-2.0
-2.1376023,-2.0
-2.1438236,-2.0
-2.1438236,-2.0
-2.1527457,-2.0
-2.1527457,-2.0
-2.1527457,-2.0
-2.1619217,-2.0
-2.1619217,-2.0
-2.1671603,-2.0
-2.1671603,-2.0
-2.1671603,-2.0
-2.1627722,-2.0
-2.1627722,-2.0
-2.1551523,-2.0
-2.1551523,-2.0
-2.1551523,-2.0
-2.1476772,-2.0
-2.1476772,-2.0
-2.1471183,-2.0
-2.1471183,-2.0
-2.1471183,-2.0
-2.1492245,-2.0
-2.1492245,-2.0
-2.1486285,-2.0
-2.1486285,-2.0
-2.1486285,-2.0
-2.1515994,-2.0
-2.1515994,-2.0
-2.1538255,-2.0
-2.1538255,-2.0
-2.1538255,-2.0
-2.134254,-2.0
-2.134254,-2.0
-2.0861573,-2.0
-2.0861573,-2.0
-2.0861573,-2.0
-2.0301526,-2.0
-2.0301526,-2.0
-1.9969424,-2.0
-1.9969424,-2.0
-1.9969424,-2.0
-1.9648511,-2.0
-1.9648511,-2.0
-1.94452,-2.0
-1.94452,-2.0
-1.94452,-2.0
-1.9224977,-2.0
-1.9224977,-2.0
-1.9080675,-2.0
-1.9080675,-2.0
-1.9080675,-2.0
-1.9074557,-2.0
-1.9074557,-2.0
-1.9059958,-2.0
-1.9059958,-2.0
-1.9059958,-2.0
-1.8993397,-2.0
-1.8993397,-2.0
-1.8978021,-2.0
-1.8978021,-2.0
-1.8978021,-2.0
-1.8995197,-2.0
-1.8995197,-2.0
-1.9044628,-2.0
-1.9044628,-2.0
-1.9044628,-2.0
-1.9040022,-2.0
-1.9040022,-2.0
-1.9037578,-2.0
-1.9037578,-2.0
-1.9037578,-2.0
-1.9049294,-2.0
-1.9049294,-2.0
-1.9086704,-2.0
-1.9086704,-2.0
-1.9086704,-2.0
-1.9035623,-2.0
-1.9035623,-2.0
-1.9021802,-2.0
-1.9021802,-2.0
-1.9021802,-2.0
-1.9019575,-2.0
-1.9019575,-2.0
-1.901824,-2.0
-1.901824,-2.0
-1.901824,-2.0
-1.9017451,-2.0
-1.9017451,-2.0
-1.9015405,-2.0
-1.9015405,-2.0
-1.9015405,-2.0
-1.9011865,-2.0
-1.9011865,-2.0
-1.900734,-2.0
-1.900734,-2.0
-1.900734,-2.0
-1.900284,-2.0
-1.900284,-2.0
-1.8998373,-2.0
-1.8998373,-2.0
-1.8998373,-2.0
-1.8980215,-2.0
-1.8980215,-2.0
-1.8976319,-2.0
-1.8976319,-2.0
-1.8976319,-2.0
-1.8972883,-2.0
-1.8972883,-2.0
-1.8979807,-2.0
-1.8979807,-2.0
-1.8979807,-2.0
-1.8978033,-2.0
-1.8978033,-2.0
-1.8973303,-2.0
-1.8973303,-2.0
-1.8973303,-2.0
-1.8969634,-2.0
-1.8969634,-2.0
-1.8966813,-2.0
-1.8966813,-2.0
-1.8966813,-2.0
-1.8966229,-2.0
-1.8966229,-2.0
-1.8970876,-2.0
-1.8970876,-2.0
-1.8970876,-2.0
-1.897593,-2.0
-1.897593,-2.0
-1.8975556,-2.0
-1.8975556,-2.0
-1.8975556,-2.0
-1.913816,-2.0
-1.913816,-2.0
-1.9356418,-2.0
-1.9356418,-2.0
-1.9356418,-2.0
-1.9953958,-2.0
-1.9953958,-2.0
-2.0804472,-2.0
-2.0804472,-2.0
-2.0804472,-2.0
-2.1186812,-2.0
-2.1186812,-2.0
-2.1220708,-2.0
-2.1220708,-2.0
-2.1220708,-2.0
-2.0875714,-2.0
-2.0875714,-2.0
-2.0448692,-2.0
-2.0448692,-2.0
-2.0448692,-2.0
-2.0342784,-2.0
-2.0342784,-2.0
-2.0292842,-2.0
-2.0292842,-2.0
-2.0292842,-2.0
-1.923119,-2.0
-1.923119,-2.0
-1.9407943,-2.0
-1.9407943,-2.0
-1.9407943,-2.0
-1.9180789,-2.0
-1.9180789,-2.0
-1.9226996,-2.0
-1.9226996,-2.0
-1.9226996,-2.0
-1.9090774,-2.0
-1.9090774,-2.0
-1.9095054,-2.0
-1.9095054,-2.0
-1.9095054,-2.0
-1.9102054,-2.0
-1.9102054,-2.0
-1.9163265,-2.0
-1.9163265,-2.0
-1.9163265,-2.0
-1.9679672,-2.0
-1.9679672,-2.0
-1.9940095,-2.0
-1.9940095,-2.0
-1.9940095,-2.0
-2.0197155,-2.0
-2.0197155,-2.0
-2.0434604,-2.0
-2.0434604,-2.0
-2.0434604,-2.0
-2.0487943,-2.0
-2.0487943,-2.0
-2.0444965,-2.0
-2.0444965,-2.0
-2.0444965,-2.0
-2.039609,-2.0
-2.039609,-2.0
-2.0603828,-2.0
-2.0603828,-2.0
-2.0603828,-2.0
-2.0751653,-2.0
-2.0751653,-2.0
-2.0722415,-2.0
-2.0722415,-2.0
-2.0722415,-2.0
-2.0877008,-2.0
-2.0877008,-2.0
-2.1033812,-2.0
-2.1033812,-2.0
-2.1033812,-2.0
-2.1042109,-2.0
-2.1042109,-2.0
-2.1075096,-2.0
-2.1075096,-2.0
-2.1075096,-2.0
-2.1206844,-2.0
-2.1206844,-2.0
-2.1176574,-2.0
-2.1176574,-2.0
-2.1176574,-2.0
-2.112165,-2.0
-2.112165,-2.0
-2.1103132,-2.0
-2.1103132,-2.0
-2.1103132,-2.0
-2.1112185,-2.0
-2.1112185,-2.0
-2.1044612,-2.0
-2.1044612,-2.0
-2.1044612,-2.0
-2.0632215,-2.0
-2.0632215,-2.0
-2.0274138,-2.0
-2.0274138,-2.0
-2.0274138,-2.0
-1.9553692,-2.0
-1.9553692,-2.0
-1.9163544,-2.0
-1.9163544,-2.0
-1.9163544,-2.0
-1.9167688,-2.0
-1.9167688,-2.0
-1.9168851,-2.0
-1.9168851,-2.0
-1.9168851,-2.0
-1.9166868,-2.0
-1.9166868,-2.0
-1.8938336,-2.0
-1.8938336,-2.0
-1.8938336,-2.0
