    FWI,VPD,HT,T,RH,U,V,P,RAIN,CAPE,ST,SM,Nearest_1,Nearest_2,Nearest_3,Nearest_4,Nearest_5,Nearest_6,Nearest_7,Nearest_8,Nearest_9,Nearest_10,Nearest_11,Nearest_12,Nearest_13,Nearest_14,Nearest_15,Nearest_16,Nearest_17,Nearest_18,Nearest_19,Nearest_20,Nearest_21,Nearest_22,Nearest_23,Nearest_24,Land_Use,VCI_AVE,TCI_AVE,VHI_AVE,VCI_TOT,TCI_TOT,VHI_TOT,FWI_1_days_ago,VPD_1_days_ago,P_1_days_ago,FRP_1_days_ago,FWI_2_days_ago,VPD_2_days_ago,P_2_days_ago,FRP_2_days_ago,FWI_3_days_ago,VPD_3_days_ago,P_3_days_ago,FRP_3_days_ago,FWI_4_days_ago,VPD_4_days_ago,P_4_days_ago,FRP_4_days_ago,FWI_5_days_ago,VPD_5_days_ago,P_5_days_ago,FRP_5_days_ago,FWI_6_days_ago,VPD_6_days_ago,P_6_days_ago,FRP_6_days_ago,FWI_7_days_ago,VPD_7_days_ago,P_7_days_ago,FRP_7_days_ago
-999.0,-999.0,0.0,292.724426,72.199997,3.446885,-0.933965,101209.265625,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101164.9375,0.0,-999.0,-999.0,100903.859375,0.0,-999.0,-999.0,100593.0,0.0,-999.0,-999.0,100615.039062,0.0,-999.0,-999.0,100864.625,0.0,-999.0,-999.0,101095.773438,0.0,-999.0,-999.0,101378.6875,0.0
-999.0,-999.0,0.0,292.049408,73.400002,4.304385,-2.303965,101220.867188,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101184.539062,0.0,-999.0,-999.0,100908.265625,0.0,-999.0,-999.0,100617.0,0.0,-999.0,-999.0,100646.640625,0.0,-999.0,-999.0,100925.820312,0.0,-999.0,-999.0,101136.578125,0.0,-999.0,-999.0,101396.289062,0.0
-999.0,-999.0,0.0,292.174408,70.300003,4.356885,-1.886465,101209.671875,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101185.335938,0.0,-999.0,-999.0,100910.664062,0.0,-999.0,-999.0,100605.40625,0.0,-999.0,-999.0,100624.234375,0.0,-999.0,-999.0,100914.21875,0.0,-999.0,-999.0,101118.171875,0.0,-999.0,-999.0,101389.890625,0.0
-999.0,-999.0,0.0,292.774414,55.625,3.781885,-3.416465,101328.867188,0.0,3.5,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101248.140625,0.0,-999.0,-999.0,100967.46875,0.0,-999.0,-999.0,100746.601562,0.0,-999.0,-999.0,100882.640625,0.0,-999.0,-999.0,101146.625,0.0,-999.0,-999.0,101381.375,0.0,-999.0,-999.0,101515.492188,0.0
-999.0,-999.0,0.0,291.899414,72.225006,4.251885,-2.683965,101230.46875,0.0,0.25,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101188.539062,0.0,-999.0,-999.0,100911.859375,0.0,-999.0,-999.0,100628.601562,0.0,-999.0,-999.0,100671.4375,0.0,-999.0,-999.0,100937.023438,0.0,-999.0,-999.0,101158.171875,0.0,-999.0,-999.0,101403.492188,0.0
-999.0,-999.0,0.0,292.049408,66.800003,5.096885,-3.373965,101236.46875,0.0,0.5,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101216.539062,0.0,-999.0,-999.0,100924.664062,0.0,-999.0,-999.0,100678.203125,0.0,-999.0,-999.0,100724.242188,0.0,-999.0,-999.0,100980.21875,0.0,-999.0,-999.0,101222.171875,0.0,-999.0,-999.0,101426.6875,0.0
-999.0,-999.0,0.0,291.99942,71.074997,5.106885,-3.313965,101227.265625,0.0,0.5,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101207.742188,0.0,-999.0,-999.0,100912.265625,0.0,-999.0,-999.0,100651.796875,0.0,-999.0,-999.0,100703.4375,0.0,-999.0,-999.0,100957.820312,0.0,-999.0,-999.0,101199.773438,0.0,-999.0,-999.0,101414.289062,0.0
0.068359,-999.0,1686.200073,297.224426,84.775002,-2.093115,-0.711465,79843.671875,6.4e-05,168.0,296.434326,0.2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,79809.734375,0.0,0.029297,-999.0,79640.664062,0.0,6.287109,-999.0,79508.203125,0.0,50.078125,-999.0,79420.640625,0.0,44.611328,-999.0,79566.625,0.0,54.341797,-999.0,79705.773438,0.0,55.958984,-999.0,79798.6875,0.0
0.106934,-999.0,1587.800049,296.37442,88.275002,-1.923115,-1.166465,81553.265625,4.3e-05,120.0,296.559326,0.26675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.018799,-999.0,81515.742188,0.0,0.420898,-999.0,81347.0625,0.0,9.449951,-999.0,81185.398438,0.0,59.895752,-999.0,81095.84375,0.0,57.282471,-999.0,81235.828125,0.0,51.597656,-999.0,81382.171875,0.0,58.524658,-999.0,81472.289062,0.0
-999.0,-999.0,0.0,292.049408,56.650002,2.889385,-2.741465,101384.46875,2e-06,2.75,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101254.539062,0.0,-999.0,-999.0,100981.0625,0.0,-999.0,-999.0,100777.796875,0.0,-999.0,-999.0,100990.242188,0.0,-999.0,-999.0,101273.023438,0.0,-999.0,-999.0,101534.578125,0.0,-999.0,-999.0,101619.890625,0.0
